LobbyingEntity,DateRange,Lobbyist,Client,House/Senate,BillNumber,BillActivity,AgentPosition,Amount,DirectBusinessAssosciation
A10 Associates,01/01/2020 - 06/30/2020,Jess Beeson Tocco,"Enterprise Rent-A-Car Company of Boston, LLC",Executive,Office of the Governor,Issues related to state budget,Neutral,$0.00,N/A
A10 Associates,01/01/2020 - 06/30/2020,Jess Beeson Tocco,"Enterprise Rent-A-Car Company of Boston, LLC",House Bill,4508,An Act relative to transportation finance,Oppose,$0.00,N/A
A10 Associates,01/01/2020 - 06/30/2020,Jess Beeson Tocco,"Enterprise Rent-A-Car Company of Boston, LLC",Executive,Massachusetts Port Authority (MassPort),Issues related to state budget,Neutral,$0.00,N/A
A10 Associates,01/01/2020 - 06/30/2020,Jess Beeson Tocco,J. Derenzo Co.,Executive,Office of the Governor,Issues related to infrastructure,Neutral,$0.00,N/A
A10 Associates,01/01/2020 - 06/30/2020,Jess Beeson Tocco,Vineyard Wind LLC,Executive,Office of the Governor,Issues related to offshore wind energy,Neutral,$0.00,N/A
A10 Associates,01/01/2020 - 06/30/2020,Jess Beeson Tocco,"Myomo, Inc.",Executive,Office of the Governor,Issues related to medical technology & coverage,Neutral,$0.00,N/A
A10 Associates,01/01/2020 - 06/30/2020,Jess Beeson Tocco,CDR MAGUIRE INC.,Executive,Office of the Governor,Issues related to COVID-19 testing,Neutral,$0.00,N/A
A10 Associates,01/01/2020 - 06/30/2020,Jess Beeson Tocco,Drew Company Inc.,Executive,Office of the Governor,Issues related to infrastructure,Neutral,$0.00,N/A
A10 Associates,01/01/2020 - 06/30/2020,Jess Beeson Tocco,Lupoli Companies,Executive,Office of the Governor,Issues related economic development,Neutral,$0.00,N/A
A10 Associates,07/01/2020 - 12/31/2020,Jess Beeson Tocco,"Enterprise Rent-A-Car Company of Boston, LLC",Executive,Office of the Governor,Issues related to state budget,Neutral,$0.00,N/A
A10 Associates,07/01/2020 - 12/31/2020,Jess Beeson Tocco,"Enterprise Rent-A-Car Company of Boston, LLC",Executive,Massachusetts Port Authority (MassPort),Issues related to state budget,Neutral,$0.00,N/A
A10 Associates,07/01/2020 - 12/31/2020,Jess Beeson Tocco,"Enterprise Rent-A-Car Company of Boston, LLC",House Bill,4508,An Act relative to transportation finance,Oppose,$0.00,N/A
A10 Associates,07/01/2020 - 12/31/2020,Jess Beeson Tocco,J. Derenzo Co.,Executive,Office of the Governor,Issues related to infrastructure,Neutral,$0.00,N/A
A10 Associates,07/01/2020 - 12/31/2020,Jess Beeson Tocco,Vineyard Wind LLC,Executive,Office of the Governor,Issues related to offshore wind energy,Neutral,$0.00,N/A
A10 Associates,07/01/2020 - 12/31/2020,Jess Beeson Tocco,"Myomo, Inc.",Executive,Office of the Governor,Issues related to medical device coverage,Neutral,$0.00,N/A
A10 Associates,07/01/2020 - 12/31/2020,Jess Beeson Tocco,CDR MAGUIRE INC.,Executive,Office of the Governor,Issues related to COVID-19 testing,Neutral,$0.00,N/A
A10 Associates,07/01/2020 - 12/31/2020,Jess Beeson Tocco,Drew Company Inc.,Executive,Office of the Governor,Issues related to infrastructure,Neutral,$0.00,N/A
A10 Associates,07/01/2020 - 12/31/2020,Jess Beeson Tocco,Lupoli Companies,Executive,Office of the Governor,Issues related to economic development,Neutral,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Executive,Department of Unemployment Assistance (DUA) (Executive Office of Labor and Workforce Development),Discussions regarding payment moratorium for organizations that self-fund unemployment insurance,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Senate Bill,2789,An Act making appropriations for the fiscal year 2020 to authorize certain COVID-19 spending in anticipation of federal reimbursement,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Executive,Massachusetts Department of Elementary and Secondary Education,"Discussions regarding remote learning, school partnerships, and health and safety guidance",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Executive,Department of Public Health (DPH),"Discussions regarding summer camp health and safety regulations, COVID-19 testing and vaccinations",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Executive,Other,"Discussions with the Department of Early Education & Care regarding COVID-19 health and safety regulations, testing, and vaccinations.",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Executive,Department of Public Health (DPH),"Discussions regarding summer camp health and safety regulations, COVID-19 testing and vaccinations",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Executive,Other,606 CMR 14.00- Department of Early Education & Care Background Record Check regulations,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,House Bill,5164,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions and certain activities of the commonwealth, for interest, sinking fund and serial bond requirements and for certain permanent improvements",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,House Bill,5250,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Executive,Massachusetts Department of Transportation (MassDOT),540 CMR 7.00 & 540 CMR 21.00- Passenger Van Regulations,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Municipal  Wholesale Electric Company,Executive,Other,Testimony before the House Green Recovery Task Force on the impacts of COVID-19 on the energy sector,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Municipal  Wholesale Electric Company,Senate Bill,2500,An Act setting next-generation climate policy,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Municipal  Wholesale Electric Company,Executive,Other,"Discussions with the Department of Energy Resources (DOER) regarding the 2050 carbon free road map, Electric Vehicle program, home efficiency upgrades, and solar projects",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,638,An Act relative to the compulsory automobile insurance limits,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,580,An Act relative to commonwealth automobile reinsurers,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",House Bill,4745,An Act providing hazard pay for essential workers in the COVID-19 emergency,Oppose,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,620,An Act relative to the fiduciary responsibility of lenders for non-payment of insurance premiums from escrowed accounts,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",House Bill,4643,An Act relative to fair and accurate motor vehicle insurance quotes,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,623,An Act relative to special insurance brokers,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",House Bill,1118,An Act to increase the minimum compulsory automobile insurance,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,2955,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions and certain activities of the Commonwealth, for interest, sinking fund and serial bond requirements and for certain permanent improvements",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Executive,Division of Insurance (Executive Office of Health and Human Services),Discussions regarding COVID-19 impacts on insurance agents,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",House Bill,5151,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions and certain activities of the commonwealth, for interest, sinking fund and serial bond requirements and for certain permanent improvements",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,2777,An Act relative to fair and accurate motor vehicle insurance quotes,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",House Bill,973,An Act relative to fair and accurate motor vehicle insurance quotes,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",House Bill,5250,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",House Bill,974,An Act relative to special insurance brokers,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,2655,An Act concerning business interruption insurance,Oppose,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,2842,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,641,An Act relative to fair and accurate motor vehicle insurance quotes,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,American Medical Response,Senate Bill,2955,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions and certain activities of the Commonwealth, for interest, sinking fund and serial bond requirements and for certain permanent improvements",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Blue Tarp reDevelopment, LLC dba MGM Springfield",House Bill,373,An Act relative to sports wagering,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Blue Tarp reDevelopment, LLC dba MGM Springfield",Senate Bill,231,An Act relative to sports wagering,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Blue Tarp reDevelopment, LLC dba MGM Springfield",Executive,Office of the Governor,"Discussions relative to COVID-19 emergency orders on health & safety measures, capacity limitations, and closing times",Neutral,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Blue Tarp reDevelopment, LLC dba MGM Springfield",House Bill,4879,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Blue Tarp reDevelopment, LLC dba MGM Springfield",Senate Bill,2842,An Act enabling partnerships for growth,Oppose,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"USA Hauling & Recycling, Inc.",Executive,Department of Environmental Protection (DEP),Discussions regarding 310 CMR 19.017- the MASSDEP DRAFT 2020-2030 Solid Waste Master Plan,Neutral,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Aggregate and Asphalt Pavements Association a Division of Construction Industries of Massachusetts,House Bill,4547,An Act authorizing and accelerating transportation investment,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Massachusetts Aggregate and Asphalt Pavements Association a Division of Construction Industries of Massachusetts,Senate Bill,2813,An Act authorizing and accelerating transportation investment,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,PhysicianOne Urgent Care,Senate Bill,2796,An Act Putting Patients First,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,PhysicianOne Urgent Care,House Bill,4888,An Act Putting Patients First,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,PhysicianOne Urgent Care,Executive,Division of Insurance (Executive Office of Health and Human Services),Discussions relative to insurer reimbursement for COVID-19 testing,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,PhysicianOne Urgent Care,Executive,Department of Public Health (DPH),Discussions relative to vaccine distribution planning,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,"Whalley Computer Associates, Inc.",Executive,Massachusetts Department of Elementary and Secondary Education,Discussions regarding student remote learning technology access during COVID-19,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Irish Cultural Center Inc. of Western New England,House Bill,4529,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Anthony Arthur Abdelahad,Irish Cultural Center Inc. of Western New England,House Bill,5250,An act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Alliance of Boys & Girls Clubs,Executive,Other,606 CMR 14.00- Department of Early Education & Care Background Record Check regulations,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Alliance of Boys & Girls Clubs,House Bill,5250,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Alliance of Boys & Girls Clubs,Executive,Department of Unemployment Assistance (DUA) (Executive Office of Labor and Workforce Development),Discussions regarding payment moratorium for organizations that self-fund unemployment insurance,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Alliance of Boys & Girls Clubs,House Bill,5164,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions and certain activities of the commonwealth, for interest, sinking fund and serial bond requirements and for certain permanent improvements",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Alliance of Boys & Girls Clubs,Executive,Department of Public Health (DPH),"Discussions regarding summer camp health and safety regulations, COVID-19 testing and vaccinations",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Alliance of Boys & Girls Clubs,Executive,Massachusetts Department of Elementary and Secondary Education,"Discussions regarding remote learning, school partnerships, and health and safety guidance",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Alliance of Boys & Girls Clubs,Executive,Massachusetts Department of Transportation (MassDOT),540 CMR 7.00 & 540 CMR 21.00- Passenger Van Regulations,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Alliance of Boys & Girls Clubs,Executive,Other,"Discussions with the Department of Early Education & Care regarding COVID-19 health and safety regulations, testing, and vaccinations.",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Alliance of Boys & Girls Clubs,Senate Bill,2789,An Act making appropriations for the fiscal year 2020 to authorize certain COVID-19 spending in anticipation of federal reimbursement,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Whalley Computer Associates, Inc.",Executive,Massachusetts Department of Elementary and Secondary Education,Discussions regarding student remote learning technology access during COVID-19,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Municipal  Wholesale Electric Company,Executive,Other,Testimony before the House Green Recovery Task Force on the impacts of COVID-19 on the energy sector,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Municipal  Wholesale Electric Company,Executive,Other,"Discussions with the Department of Energy Resources (DOER) regarding the 2050 carbon free road map, Electric Vehicle program, home efficiency upgrades, and solar projects",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Municipal  Wholesale Electric Company,Senate Bill,2500,An Act setting next-generation climate policy,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,2777,An Act relative to fair and accurate motor vehicle insurance quotes,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,641,An Act relative to fair and accurate motor vehicle insurance quotes,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,2955,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions and certain activities of the Commonwealth, for interest, sinking fund and serial bond requirements and for certain permanent improvements",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",House Bill,4745,An Act providing hazard pay for essential workers in the COVID-19 emergency,Oppose,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",House Bill,5250,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",House Bill,4643,An Act relative to fair and accurate motor vehicle insurance quotes,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,620,An Act relative to the fiduciary responsibility of lenders for non-payment of insurance premiums from escrowed accounts,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",House Bill,1118,An Act to increase the minimum compulsory automobile insurance,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,580,An Act relative to commonwealth automobile reinsurers,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Executive,Division of Insurance (Executive Office of Health and Human Services),Discussions regarding COVID-19 impacts on insurance agents,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,2655,An Act concerning business interruption insurance,Oppose,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,2842,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,623,An Act relative to special insurance brokers,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",House Bill,973,An Act relative to fair and accurate motor vehicle insurance quotes,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",Senate Bill,638,An Act relative to the compulsory automobile insurance limits,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",House Bill,974,An Act relative to special insurance brokers,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Massachusetts Association of Insurance Agents, Inc.",House Bill,5151,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions and certain activities of the commonwealth, for interest, sinking fund and serial bond requirements and for certain permanent improvements",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,American Medical Response,Senate Bill,2955,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions and certain activities of the Commonwealth, for interest, sinking fund and serial bond requirements and for certain permanent improvements",Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Blue Tarp reDevelopment, LLC dba MGM Springfield",Senate Bill,231,An Act relative to sports wagering,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Blue Tarp reDevelopment, LLC dba MGM Springfield",Executive,Office of the Governor,Discussions relative to COVID-19 emergency orders on capacity limitations closing times,Neutral,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Blue Tarp reDevelopment, LLC dba MGM Springfield",House Bill,373,An Act relative to sports wagering,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Blue Tarp reDevelopment, LLC dba MGM Springfield",House Bill,4879,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"Blue Tarp reDevelopment, LLC dba MGM Springfield",Senate Bill,2842,An Act enabling partnerships for growth,Oppose,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,"USA Hauling & Recycling, Inc.",Executive,Department of Environmental Protection (DEP),Discussions regarding 310 CMR 19.017- the MASSDEP DRAFT 2020-2030 Solid Waste Master Plan,Neutral,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Aggregate and Asphalt Pavements Association a Division of Construction Industries of Massachusetts,Senate Bill,2813,An Act authorizing and accelerating transportation investment,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Massachusetts Aggregate and Asphalt Pavements Association a Division of Construction Industries of Massachusetts,House Bill,4547,An Act authorizing and accelerating transportation investment,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,PhysicianOne Urgent Care,Executive,Department of Public Health (DPH),Discussions relative to vaccine distribution planning,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,PhysicianOne Urgent Care,Senate Bill,2796,An Act Putting Patients First,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,PhysicianOne Urgent Care,House Bill,4888,An Act Putting Patients First,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,PhysicianOne Urgent Care,Executive,Division of Insurance (Executive Office of Health and Human Services),Discussions relative to insurer reimbursement for COVID-19 testing,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Irish Cultural Center Inc. of Western New England,House Bill,5250,An act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,07/01/2020 - 12/31/2020,Dennis Michael Murphy,Irish Cultural Center Inc. of Western New England,House Bill,4529,An Act enabling partnerships for growth,Support,$0.00,N/A
Ventry Associates LLP,01/01/2020 - 06/30/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,House Bill,2407,An Act relative to payments in lieu of taxation by organizations exempt from the property tax,Oppose,$0.00,N/A
Ventry Associates LLP,01/01/2020 - 06/30/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Executive,Other,Discussions relative to early childcare health and safety regulations,Neutral,$0.00,N/A
Ventry Associates LLP,01/01/2020 - 06/30/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,House Bill,4196,An Act modernizing tobacco control,Support,$0.00,N/A
Ventry Associates LLP,01/01/2020 - 06/30/2020,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,Executive,Massachusetts Department of Elementary and Secondary Education,Discussions relative to out of school and after school programming,Support,$0.00,N/A
